objectid,cl,logradouro,codbairro,bairro,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,source
1331177,031294,ETR DO MATO ALTO,144,Campo Grande,5,TERRITORIAL,100.0,552.2,34126.016,34126.016,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331178,031518,ETR DO MOINHO,144,Campo Grande,2,TERRITORIAL,75.0,2560.0,120279.765,125259.66,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331179,087049,AVN BRASIL,144,Campo Grande,6,TERRITORIAL,100.0,30457.5,2811840.138333,2811840.138333,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331180,114413,RUA ROTARI,144,Campo Grande,2,TERRITORIAL,100.0,384.0,124897.625,124897.625,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331181,116608,RUA 31 A PAL 24477,144,Campo Grande,4,TERRITORIAL,100.0,805.75,69026.385,69026.385,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331182,119446,RUA ARNALDO SERVULO DA ROCHA,144,Campo Grande,5,TERRITORIAL,100.0,226.2,104705.962,104705.962,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331183,130286,RUA H PAL 19789,144,Campo Grande,2,TERRITORIAL,100.0,360.0,19670.57,19670.57,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331184,137216,RUA IVAN SERPA,144,Campo Grande,3,TERRITORIAL,100.0,128.0,48728.616666,48728.616666,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331185,161885,RUA NATHAN PEDRO VASCONCELOS,144,Campo Grande,2,TERRITORIAL,100.0,120.0,20704.47,20704.47,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331186,163253,RUA FERNANDO SABOYA DE FIUZA,144,Campo Grande,4,TERRITORIAL,100.0,152.0,55226.41,55226.41,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331187,163337,RUA LUIS MONTEZUMA,144,Campo Grande,2,TERRITORIAL,100.0,153.0,72378.925,72378.925,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331188,170738,RUA FIGUEIROPOLIS,144,Campo Grande,3,TERRITORIAL,100.0,120.0,24952.156666,24952.156666,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331189,170878,RUA JACAREACANGA,144,Campo Grande,2,TERRITORIAL,100.0,120.0,23637.625,23637.625,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331190,181032,RUA OTAVIO SALLES,144,Campo Grande,2,TERRITORIAL,100.0,153.0,54009.29,54009.29,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331191,181172,RUA RENATO GABIZO,144,Campo Grande,2,TERRITORIAL,75.0,229.0,73538.675,92304.11,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331192,198655,RUA JOSE ALFREDO DE MARSILLAC,144,Campo Grande,2,TERRITORIAL,100.0,146.5,20764.28,20764.28,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331193,198721,RUA JOAO GUALBERTO BRAGA,144,Campo Grande,6,TERRITORIAL,100.0,247.666666,104112.623333,104112.623333,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
1331194,199000,RUA COLARES,144,Campo Grande,2,TERRITORIAL,100.0,144.0,30808.805,30808.805,COMPRA E VENDA,2012,Prefeitura da Cidade do Rio de Janeiro
